algorithm,num_seeds,return_mean,return_std,latency_proxy_mean,latency_proxy_std,mean_queue_mean,mean_queue_std,cost_mean,cost_std,dropped_requests_mean,dropped_requests_std,action_stability_mean,action_stability_std,action_switches_mean,action_switches_std
PPO,5,-2846.701339840889,93.0905991300339,0.0373484,0.003762479873700323,18.674200000000003,1.8812399368501618,2829.2,90.109377980319,0.2,0.447213595499958,0.7355355355355355,0.014633114567851593,264.2,14.618481453283716
A2C Final,5,-3385.740596246719,627.565341315551,0.040706,0.006563175603318868,20.353,3.281587801659435,3132.8,169.3552479257729,11.8,25.830214865540704,0.7579579579579581,0.006766944456919167,241.8,6.760177512462228
PPO-LSTM Final,5,-2636.07551715374,114.61581661942645,0.0477856,0.004727736329365251,23.8928,2.363868164682625,2624.0,105.48933595392475,0.2,0.447213595499958,0.832032032032032,0.011788885301651468,167.8,11.77709641634983
Vanilla DQN freq1,5,-3364.920004749298,738.2838633555954,0.0611892,0.013727501491531515,30.594599999999996,6.863750745765758,2685.2,49.0581287861655,18.0,37.51666296460814,0.7073073073073074,0.013953106595958187,292.4,13.939153489362258
Double DQN freq1,5,-4673.118541955948,477.9419025450185,0.0219244,0.0061215346768600425,10.9622,3.060767338430022,4432.0,132.54621835420278,10.4,23.25510696599781,0.9483483483483482,0.008686243503470097,51.6,8.677557259966655
Dueling DQN freq1,5,-11637.801944184303,8895.823139658842,0.10729999999999999,0.03894402508729677,53.65,19.472012543648386,2969.6,134.14097062419071,430.0,448.33971494838596,0.8448448448448449,0.0098840929219877,155.0,9.874208829065749
Double+Dueling DQN freq1,5,-4970.34187977314,769.8227682635822,0.0310168,0.005208206716327607,15.5084,2.604103358163804,4454.8,284.92841206169663,25.6,32.439173848912986,0.9147147147147148,0.015416715361904679,85.2,15.401298646542765
Rule-Based Baseline,5,-6536.813145875931,1717.036133540006,0.047392000000000004,0.004913464561793441,23.696,2.4567322808967202,3266.4,178.5519532237046,163.4,83.79916467364099,0.8098098098098099,0.012681541000320248,190.0,12.668859459319927
